,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,rank,groupName
287,DorothyDay383,0.050615595,0.012311902,1,0,0.477272727,33,0.75,0.042407661,0.023255814,0.024623803,0.012311902,0.006839945,0.001367989,0.012311902,0.415868673,0.734630758,0.59302014,5,DorothyDay
288,MehrBaba058,0.057529611,0.014382403,1,0,0.434210526,54,0.710526316,0.02284264,0,0.012690355,0.001692047,0.043147208,0,0.018612521,0.390862944,0.652547174,0.42282704,3,MehrBaba
289,JohnPiper459,0.035648433,0.008604794,1,0,0.428571429,48,0.685714286,0.029502151,0.002458513,0.003073141,0.006146281,0.012292563,0,0.004917025,0.330669945,0.727937396,0.696327448,3,JohnPiper
290,JohnPiper104,0.024232633,0.014216478,1,0,0.292237443,157,0.716894977,0.013247173,0.022294023,0.016801292,0.007431341,0.021001616,0.000323102,0.015831987,0.19644588,0.692043792,0.661173228,5,JohnPiper
291,LiberalJudaism046,0.023041475,0.015500628,1,0,0.464,95,0.76,0.012987013,0.019689987,0.032258065,0.005446167,0.007959782,0.002513615,0.013824885,0.296187683,0.657782951,0.565585059,4,LiberalJudaism
292,ISIS007,0.004694836,0.042253521,0,1,0.636363636,7,0.636363636,0,0.042253521,0,0.009389671,0.0657277,0,0.009389671,0.469483568,0.864967486,0.619622503,1,ISIS
293,WBC228,0.030683919,0.017744917,1,0,0.338461538,64,0.492307692,0.020332717,0.01663586,0.012939002,0.008502773,0.01219963,0,0.004066543,0.254343808,0.708917986,0.568855231,1,WBC
294,Rabbinic025,0.017161536,0.008716971,1,0,0.221402214,116,0.42804428,0.006537728,0.00408608,0.008444566,0.007899755,0.0204304,0.001089621,0.0204304,0.214655407,0.733099803,0.571455025,4,Rabbinic
295,ACLU12,0.042772861,0.02359882,1,0,0.482758621,18,0.620689655,0.01179941,0,0.002949853,0.004424779,0.019174041,0,0.008849558,0.541297935,0.716189467,0.559694541,3,ACLU
296,YV49,0.027538726,0.012048193,1,0,0.393939394,20,0.606060606,0.032702238,0.017211704,0,0.003442341,0,0,0.010327022,0.413080895,0.745496075,0.731128012,4,YV
